,x,y,class,B8,B11
1914,765591.394,52839.47465,1,0.382999986,0.163306609
1915,764999.6757,52045.17535,1,0.40290001,0.184252262
1916,766314.9687,52525.17508,1,0.375499994,0.226849437
1917,765071.0839,53454.58482,1,0.378800005,0.174177557
1918,766426.8955,53348.75783,1,0.382200003,0.187111095
1919,765953.982,52142.3105,1,0.43720001,0.191629156
1920,766243.3361,52503.14614,1,0.402200013,0.154022887
1921,764961.8422,53911.09933,1,0.402399987,0.167776152
1922,765982.6897,52497.21021,1,0.386299998,0.180448085
1923,765558.9023,52682.85649,1,0.411199987,0.180320621
1924,765492.8739,53791.20229,1,0.370000005,0.192677066
1925,765261.0104,52882.71944,1,0.346300006,0.133966476
1926,765278.2373,53058.80218,1,0.394600004,0.16538769
1927,765836.3893,52602.07058,1,0.406199992,0.217992201
1928,764236.9592,53600.80466,1,0.360300004,0.219646439
1929,765142.7507,53188.35556,1,0.379700005,0.188707247
1930,765326.7874,52645.91419,1,0.396400005,0.160538957
1931,765225.3189,53557.39968,1,0.365799993,0.161036313
1932,764572.6031,51956.8888,1,0.390599996,0.181104466
1933,764965.6264,53181.39447,1,0.38409999,0.15448074
1934,764578.1154,53639.0871,1,0.435699999,0.195032522
1935,765373.5539,53795.39892,1,0.350199997,0.206628874
1936,765006.8246,53217.50004,1,0.380199999,0.168126613
1937,765170.3923,52782.9733,1,0.382200003,0.174230948
1938,765694.4501,52381.0103,1,0.425199986,0.171667114
1939,765504.3554,52690.66096,1,0.3741,0.135551587
1940,764861.6003,52506.18509,1,0.406199992,0.251571983
1941,763614.7279,52058.92836,1,0.357899994,0.186134577
1942,764172.6896,53178.2214,1,0.385699987,0.302424312
1943,766304.8979,51460.60053,1,0.523899972,0.473456025
1944,765356.1096,52881.72936,1,0.394400001,0.148282826
1945,766089.1931,51585.81728,1,0.218999997,0.050818998
1946,764335.1248,51619.52561,1,0.379799992,0.17940864
1947,765486.4817,52529.59701,1,0.425199986,0.175721571
1948,764401.366,53497.89241,1,0.452499986,0.300929636
1949,765261.5014,51762.30655,1,0.320199996,0.190838039
1950,764685.5796,53270.59859,1,0.395599991,0.282498747
1951,765067.0323,52845.06241,1,0.369599998,0.14253293
1952,765496.4877,52698.19382,1,0.38409999,0.138940617
1953,763925.3183,52086.61813,1,0.362599999,0.257213682
1954,764615.0681,52653.65884,1,0.416500002,0.235876516
1955,765073.3705,53635.29962,1,0.411599994,0.207412168
1956,764878.2465,53884.82067,1,0.36649999,0.156827733
1957,765548.0249,52550.06495,1,0.430400014,0.16610603
1958,764176.4471,51638.98442,1,0.409099996,0.189973757
1959,765247.0811,53180.85805,1,0.39289999,0.169001982
1960,764676.3327,52968.38591,1,0.347499996,0.193285838
1961,764752.0735,52666.70692,1,0.393400013,0.204288542
1962,765142.0753,53534.43406,1,0.366600007,0.176461399
1963,764566.3738,51778.47229,1,0.388799995,0.183969855
1964,765427.9914,53940.398,1,0.403200001,0.177962586
1965,765126.4185,53195.10457,1,0.385699987,0.163250864
1966,765125.9555,53701.98385,1,0.358399987,0.151393965
1967,764647.4851,51691.21798,1,0.388399988,0.189882457
1968,764848.8951,51511.15515,1,0.34830001,0.17110838
1969,764673.5932,53753.70615,1,0.381199986,0.17891413
1970,764946.6252,53668.42248,1,0.384499997,0.183708087
1971,765333.9422,52397.49751,1,0.460299999,0.206266388
1972,765935.4406,52748.97246,1,0.365399987,0.168684751
1973,763822.3617,53918.38157,1,0.446399987,0.172019333
1974,764115.9217,53015.67001,1,0.438899994,0.225801989
1975,765504.4103,53136.40438,1,0.391000003,0.183568418
1976,765893.5113,52730.39152,1,0.351099998,0.18000865
1977,766219.596,52530.4613,1,0.395000011,0.153982267
1978,765463.1142,52626.50124,1,0.407400012,0.157643676
1979,765533.7938,53589.49562,1,0.408800006,0.168385863
1980,764680.133,51843.98315,1,0.314999998,0.195177495
1981,765009.1594,51435.09086,1,0.365700006,0.193531886
1982,764482.8379,52379.41949,1,0.402799994,0.171320111
1983,764443.9228,51773.36111,1,0.381399989,0.168279156
1984,764158.0108,52963.42137,1,0.413199991,0.229246393
1985,763450.1551,53009.54737,1,0.396200001,0.185444981
1986,764669.4749,52140.21296,1,0.411199987,0.181767106
1987,763919.801,54026.30132,1,0.370000005,0.23601611
1988,765349.2897,52552.20844,1,0.340799987,0.190684542
1989,765478.5211,52463.96928,1,0.306199998,0.235467434
1990,765677.4056,52936.74836,1,0.369800001,0.182682738
1991,765483.5854,53385.70347,1,0.381099999,0.185134962
1992,766195.5371,52469.81127,1,0.414099991,0.154432967
1993,765205.0834,53586.87747,1,0.359499991,0.176194742
1994,764265.8925,52483.95833,1,0.312400013,0.279370427
1995,764874.4637,53666.70926,1,0.353199989,0.182262763
1996,764807.7896,53379.60578,1,0.41839999,0.206879795
1997,764393.344,52153.68926,1,0.397599995,0.184171006
1998,764859.8796,53094.5103,1,0.403299987,0.177914947
1999,764340.3981,51744.07928,1,0.416799992,0.210686803
2000,764972.1473,51555.80791,1,0.4472,0.212543383
2001,763648.8288,53599.39222,2,0.323599994,0.254406154
2002,765097.7496,53005.54715,2,0.332199991,0.334973484
2003,764183.03,53486.13065,2,0.271800011,0.202981532
2004,766169.7427,51567.9903,2,0.257600009,0.175187662
2005,764141.8176,51930.28427,2,0.273600012,0.206094071
2006,764929.8059,52460.30956,2,0.308800012,0.287418038
2007,764060.7803,52753.74928,2,0.261500001,0.236249924
2008,763505.2343,52095.02912,2,0.277999997,0.244309977
2009,765836.9563,52251.19301,2,0.299600005,0.227425665
2010,763612.003,53444.87675,2,0.285299987,0.299256623
2011,764074.3584,52882.96945,2,0.306300014,0.2440833
2012,764076.2124,53451.44035,2,0.289200008,0.200877756
2013,765688.0744,52132.54312,2,0.292699993,0.244663283
2014,764572.0928,52612.85183,2,0.274199992,0.212601274
2015,766080.2048,52325.1337,2,0.265799999,0.213313878
2016,765195.238,52221.41458,2,0.265899986,0.245269567
2017,763799.9521,51515.22791,2,0.256900012,0.22916019
2018,765334.2039,52173.39003,2,0.222800002,0.182487652
2019,764101.5837,51992.07941,2,0.275400013,0.253834069
2020,764309.605,53103.58809,2,0.327800006,0.262262315
2021,763559.5164,53243.51286,2,0.275200009,0.258061737
2022,763681.3157,51658.097,2,0.312700003,0.168158069
